director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
JohnHerzfeld,SylvesterStallone,CurtisJackson,DaveBautista,action thriller crime,Escape Plan: The Extractors,SylvesterStallone CurtisJackson DaveBautista JohnHerzfeld action thriller crime
AriAster,FlorencePugh,JackReynor,WilliamJacksonHarper,horror drama mystery,Midsommar,FlorencePugh JackReynor WilliamJacksonHarper AriAster horror drama mystery
MichaelDowse,KumailNanjiani,DaveBautista,IkoUwais,action comedy,Stuber,KumailNanjiani DaveBautista IkoUwais MichaelDowse action comedy
AlexandreAja,KayaScodelario,BarryPepper,unknown,thriller horror action,Crawl,KayaScodelario BarryPepper unknown AlexandreAja thriller horror action
JoeLynch,FrankGrillo,AnthonyMackie,MarciaGayHarden,action thriller,Point Blank,FrankGrillo AnthonyMackie MarciaGayHarden JoeLynch action thriller
LuluWang,Awkwafina,TziMa,DianaLin,comedy drama,The Farewell,Awkwafina TziMa DianaLin LuluWang comedy drama
PollyannaMcintosh,PollyannaMcIntosh,CooperAndrews,Nora-JaneNoone,horror mystery,Darlin',PollyannaMcIntosh CooperAndrews Nora-JaneNoone PollyannaMcintosh horror mystery
JonFavreau,DonaldGlover,SethRogen,ChiwetelEjiofor,family animation drama,The Lion King,DonaldGlover SethRogen ChiwetelEjiofor JonFavreau family animation drama
QuentinTarantino,LeonardoDiCaprio,BradPitt,MargotRobbie,comedy drama thriller,Once Upon a Time in Hollywood,LeonardoDiCaprio BradPitt MargotRobbie QuentinTarantino comedy drama thriller
GuyNattiv,JamieBell,DanielleMacdonald,DanielHenshall,thriller action drama,Skin,JamieBell DanielleMacdonald DanielHenshall GuyNattiv thriller action drama
