director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
GaryRogers,NoahDanby,KirbyHeyborne,BruceNewbold,adventure,"The Book of Mormon Movie, Volume 1: The Journey",NoahDanby KirbyHeyborne BruceNewbold GaryRogers adventure
CharlesFerguson,CampbellScott,DickCheney,DonaldRumsfeld,documentary war,No End in Sight,CampbellScott DickCheney DonaldRumsfeld CharlesFerguson documentary war
MarielleHeller,AlexanderSkarsgård,DavidFine,AustinLyon,drama romance,The Diary of a Teenage Girl,AlexanderSkarsgård DavidFine AustinLyon MarielleHeller drama romance
MarielleHeller,AnneHathaway,JonTenney,DebrahFarentino,comedy drama romance,Get Real            ,AnneHathaway JonTenney DebrahFarentino MarielleHeller comedy drama romance
DavidSington,JohnF.Kennedy,BuzzAldrin,NeilArmstrong,documentary history,In the Shadow of the Moon,JohnF.Kennedy BuzzAldrin NeilArmstrong DavidSington documentary history
KellyReichardt,BruceGreenwood,ZoeKazan,ShirleyHenderson,drama western,Meek's Cutoff,BruceGreenwood ZoeKazan ShirleyHenderson KellyReichardt drama western
FentonBailey,HughM.Hefner,BillMaher,LindaLovelace,biography documentary history,Inside Deep Throat,HughM.Hefner BillMaher LindaLovelace FentonBailey biography documentary history
BobGiraldi,DannyAiello,MannyPerez,AjayNaidu,crime drama romance,Dinner Rush,DannyAiello MannyPerez AjayNaidu BobGiraldi crime drama romance
JillSprecher,AlannaUbach,BobBalaban,JamieKennedy,comedy drama,Clockwatchers,AlannaUbach BobBalaban JamieKennedy JillSprecher comedy drama
HuckBotko,MattBennett,KrystaRodriguez,ZackPearlman,comedy,The Virginity Hit,MattBennett KrystaRodriguez ZackPearlman HuckBotko comedy
LucBesson,ChristopherLambert,IsabelleAdjani,Jean-HuguesAnglade,comedy drama thriller,Subway,ChristopherLambert IsabelleAdjani Jean-HuguesAnglade LucBesson comedy drama thriller
DavidDuchovny,RobinWilliams,MarkMargolis,FrankLangella,comedy drama,House of D,RobinWilliams MarkMargolis FrankLangella DavidDuchovny comedy drama
