director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,genresres,comb
ClintEastwood,AnthonySadler,AlekSkarlatos,SpencerStone,'Thriller'  'History'  'Drama',The 15:17 to Paris,'thriller'  'history'  'drama',AnthonySadler AlekSkarlatos SpencerStone ClintEastwood 'Thriller'  'History'  'Drama'
MarcoPoloConstandse,OmarChaparro,MarimarVega,RyanCarnes,'Comedy',La Boda de Valentina,'comedy',OmarChaparro MarimarVega RyanCarnes MarcoPoloConstandse 'Comedy'
SurendraPoudel,AnmolK.C.,AditiBudhathoki,AnoopBikramShahi,None,Kri,none,AnmolK.C. AditiBudhathoki AnoopBikramShahi SurendraPoudel None
BrianCrano,RebeccaHall,DanStevens,MorganSpector,'Comedy'  'Romance'  'Drama',Permission,'comedy'  'romance'  'drama',RebeccaHall DanStevens MorganSpector BrianCrano 'Comedy'  'Romance'  'Drama'
HolgerTappe,EmilyWatson,JasonIsaacs,NickFrost,'Animation'  'Family',Monster Family,'animation'  'family',EmilyWatson JasonIsaacs NickFrost HolgerTappe 'Animation'  'Family'
AlexRossPerry,EmilyBrowning,AdamHorowitz,Mary-LouiseParker,'Drama',Golden Exits,'drama',EmilyBrowning AdamHorowitz Mary-LouiseParker AlexRossPerry 'Drama'
RyanCoogler,ChadwickBoseman,MichaelB.Jordan,LupitaNyong'o,'Action'  'Adventure'  'Science Fiction',Black Panther,'action'  'adventure'  'science fiction',ChadwickBoseman MichaelB.Jordan LupitaNyong'o RyanCoogler 'Action'  'Adventure'  'Science Fiction'
NickPark,EddieRedmayne,TomHiddleston,MaisieWilliams,'Family'  'Comedy'  'Animation'  'Adventure',Early Man,'family'  'comedy'  'animation'  'adventure',EddieRedmayne TomHiddleston MaisieWilliams NickPark 'Family'  'Comedy'  'Animation'  'Adventure'
AndreyZvyagintsev,MaryanaSpivak,AlexeiRozin,MatveyNovikov,'Drama',Loveless,'drama',MaryanaSpivak AlexeiRozin MatveyNovikov AndreyZvyagintsev 'Drama'
SallyPotter,TimothySpall,KristinScottThomas,PatriciaClarkson,'Fantasy'  'Comedy'  'Drama',The Party,'fantasy'  'comedy'  'drama',TimothySpall KristinScottThomas PatriciaClarkson SallyPotter 'Fantasy'  'Comedy'  'Drama'
MarkPellington,JonHamm,NickOfferman,AmberTamblyn,'Drama',Nostalgia,'drama',JonHamm NickOfferman AmberTamblyn MarkPellington 'Drama'
LanceDaly,HugoWeaving,JimBroadbent,StephenRea,'Drama'  'Western',Black '47,'drama'  'western',HugoWeaving JimBroadbent StephenRea LanceDaly 'Drama'  'Western'
BruceMacdonald,TaylorJames,JacksonRathbone,BillyZane,'Action'  'Drama'  'Adventure',Samson,'action'  'drama'  'adventure',TaylorJames JacksonRathbone BillyZane BruceMacdonald 'Action'  'Drama'  'Adventure'
"JonathanGoldstein,JohnFrancisDaley",JasonBateman,RachelMcAdams,KyleChandler,'Mystery'  'Comedy'  'Crime',Game Night,'mystery'  'comedy'  'crime',"JasonBateman RachelMcAdams KyleChandler JonathanGoldstein,JohnFrancisDaley 'Mystery'  'Comedy'  'Crime'"
AlexGarland,NataliePortman,JenniferJasonLeigh,GinaRodriguez,'Science Fiction'  'Horror',Annihilation,'science fiction'  'horror',NataliePortman JenniferJasonLeigh GinaRodriguez AlexGarland 'Science Fiction'  'Horror'
MichaelSucsy,AngourieRice,MariaBello,DebbyRyan,'Drama'  'Fantasy'  'Romance',Every Day,'drama'  'fantasy'  'romance',AngourieRice MariaBello DebbyRyan MichaelSucsy 'Drama'  'Fantasy'  'Romance'
DavidFreyne,EllenPage,SamKeeley,TomVaughan-Lawlor,'Horror'  'Drama'  'Science Fiction',The Cured,'horror'  'drama'  'science fiction',EllenPage SamKeeley TomVaughan-Lawlor DavidFreyne 'Horror'  'Drama'  'Science Fiction'
BrianO'Malley,CharlotteVega,BillMilner,EugeneSimon,'Drama'  'Horror'  'Romance'  'Thriller',The Lodgers,'drama'  'horror'  'romance'  'thriller',CharlotteVega BillMilner EugeneSimon BrianO'Malley 'Drama'  'Horror'  'Romance'  'Thriller'
FrancisLawrence,JenniferLawrence,JoelEdgerton,MatthiasSchoenaerts,'Mystery'  'Thriller',Red Sparrow,'mystery'  'thriller',JenniferLawrence JoelEdgerton MatthiasSchoenaerts FrancisLawrence 'Mystery'  'Thriller'
EliRoth,BruceWillis,VincentD'Onofrio,DeanNorris,'Action'  'Crime'  'Drama'  'Thriller',Death Wish,'action'  'crime'  'drama'  'thriller',BruceWillis VincentD'Onofrio DeanNorris EliRoth 'Action'  'Crime'  'Drama'  'Thriller'
ShawnChristensen,LoganLerman,ElleFanning,MichelleMonaghan,'Mystery'  'Drama',The Vanishing of Sidney Hall,'mystery'  'drama',LoganLerman ElleFanning MichelleMonaghan ShawnChristensen 'Mystery'  'Drama'
SamuelMaoz,LiorAshkenazi,SarahAdler,YonatanShiray,'Comedy'  'Drama'  'War',Foxtrot,'comedy'  'drama'  'war',LiorAshkenazi SarahAdler YonatanShiray SamuelMaoz 'Comedy'  'Drama'  'War'
UsherMorgan,ElysePrice,JoelBernard,KatieVincent,'Thriller'  'Action'  'Crime'  'Drama'  'Mystery',Pickings,'thriller'  'action'  'crime'  'drama'  'mystery',ElysePrice JoelBernard KatieVincent UsherMorgan 'Thriller'  'Action'  'Crime'  'Drama'  'Mystery'
AvaDuVernay,StormReid,OprahWinfrey,ReeseWitherspoon,'Adventure'  'Science Fiction'  'Family'  'Fantasy',A Wrinkle in Time,'adventure'  'science fiction'  'family'  'fantasy',StormReid OprahWinfrey ReeseWitherspoon AvaDuVernay 'Adventure'  'Science Fiction'  'Family'  'Fantasy'
NashEdgerton,DavidOyelowo,CharlizeTheron,JoelEdgerton,'Action'  'Thriller'  'Crime'  'Drama',Gringo,'action'  'thriller'  'crime'  'drama',DavidOyelowo CharlizeTheron JoelEdgerton NashEdgerton 'Action'  'Thriller'  'Crime'  'Drama'
CoryFinley,OliviaCooke,AnyaTaylor-Joy,AntonYelchin,'Drama'  'Thriller',Thoroughbreds,'drama'  'thriller',OliviaCooke AnyaTaylor-Joy AntonYelchin CoryFinley 'Drama'  'Thriller'
ArmandoIannucci,SteveBuscemi,SimonRussellBeale,PaddyConsidine,'Comedy'  'Drama'  'History',The Death of Stalin,'comedy'  'drama'  'history',SteveBuscemi SimonRussellBeale PaddyConsidine ArmandoIannucci 'Comedy'  'Drama'  'History'
PaoloVirzì,DonaldSutherland,HelenMirren,unknown,'Drama'  'Romance'  'Adventure',The Leisure Seeker,'drama'  'romance'  'adventure',DonaldSutherland HelenMirren unknown PaoloVirzì 'Drama'  'Romance'  'Adventure'
JohannesRoberts,ChristinaHendricks,MartinHenderson,BaileeMadison,'Horror'  'Thriller',The Strangers: Prey at Night,'horror'  'thriller',ChristinaHendricks MartinHenderson BaileeMadison JohannesRoberts 'Horror'  'Thriller'
RobCohen,TobyKebbell,MaggieGrace,RyanKwanten,'Action'  'Crime'  'Thriller',The Hurricane Heist,'action'  'crime'  'thriller',TobyKebbell MaggieGrace RyanKwanten RobCohen 'Action'  'Crime'  'Thriller'
RoarUthaug,AliciaVikander,DominicWest,WaltonGoggins,'Action'  'Adventure'  'Fantasy',Tomb Raider,'action'  'adventure'  'fantasy',AliciaVikander DominicWest WaltonGoggins RoarUthaug 'Action'  'Adventure'  'Fantasy'
GregBerlanti,NickRobinson,KatherineLangford,AlexandraShipp,'Comedy'  'Drama'  'Romance',"Love, Simon",'comedy'  'drama'  'romance',NickRobinson KatherineLangford AlexandraShipp GregBerlanti 'Comedy'  'Drama'  'Romance'
